Drivetrain.InternalCombustionEngine.Engine.Power,OICEnergyConsumption
Drivetrain.InternalCombustionEngine.Engine.Speed,OICSpeed
Drivetrain.InternalCombustionEngine.Engine.Torque,OICAngularVelocity
Drivetrain.InternalCombustionEngine.Engine.TPS,OICOpenLevel
Drivetrain.InternalCombustionEngine.FuelType,OICMode
Drivetrain.InternalCombustionEngine.MaxPower,OICEnergyConsumption
Drivetrain.InternalCombustionEngine.MaxTorque,OICPower
Drivetrain.Transmission.ClutchWear,OICOpenLevel
Drivetrain.Transmission.DriveType,OICMode
Drivetrain.Transmission.Gear,OICGear
Drivetrain.Transmission.GearChangeMode,OICGear
Drivetrain.Transmission.GearCount,OICGear
Drivetrain.Transmission.PerformanceMode,OICMode
Drivetrain.Transmission.Speed,OICSpeed
Drivetrain.Transmission.Temperature,OICTemperature
Drivetrain.Transmission.TravelledDistance,OICDistance
Drivetrain.Transmission.Type,OICMode
OBD.AbsoluteLoad,OICOpenLevel
OBD.AcceleratorPositionD,OICOpenLevel
OBD.AcceleratorPositionE,OICOpenLevel
OBD.AcceleratorPositionF,OICOpenLevel
OBD.AirStatus,OICMode
OBD.AuxInputStatus,OICBinarySwitch
OBD.BarometricPressure,OICAtmosphericPressureSensor
OBD.Catalyst.Bank2.Temperature1,OICTemperature
OBD.Catalyst.Bank2.Temperature2,OICTemperature
OBD.CommandedEGR,OICOBD
OBD.CommandedEquivalenceRatio,OICOBD
OBD.CommandedEVAP,OICOBD
OBD.ControlModuleVoltage,OICOBD
OBD.CoolantTemperature,OICTemperature
OBD.DistanceSinceDTCClear,OICDistance
OBD.DistanceWithMIL,OICDistance
OBD.EGRError,OICOBD
OBD.EngineLoad,OICOBD
OBD.EngineSpeed,OICSpeed
OBD.EthanolPercent,OICOBD
OBD.EVAPVaporPressure,OICAtmosphericPressureSensor
OBD.EVAPVaporPressureAbsolute,OICAtmosphericPressureSensor
OBD.EVAPVaporPressureAlternate,OICAtmosphericPressureSensor
OBD.FreezeDTC,OICOBD
OBD.FuelInjectionTiming,OICOBD
OBD.FuelLevel,OICOBD
OBD.FuelPressure,OICAtmosphericPressureSensor
OBD.FuelRailPressureAbsolute,OICAtmosphericPressureSensor
OBD.FuelRailPressureDirect,OICAtmosphericPressureSensor
OBD.FuelRailPressureVac,OICAtmosphericPressureSensor
OBD.FuelRate,OICOBD
OBD.FuelStatus,OICOBD
OBD.HybridBatteryRemaining,OICBattery
OBD.IntakeTemp,OICTemperature
OBD.LongTermFuelTrim1,OICOBD
OBD.LongTermFuelTrim2,OICOBD
OBD.LongTermO2Trim1,OICOBD
